year,origin,destin,id,dist,passen,fare,bmktshr,ldist,y98,y99,y00,lfare,ldistsq,concen,lpassen
1999,"ORLANDO, FL","ROCHESTER, NY",1007,1034,345,192.39,.73570001,6.9411902,0,1,0,4.7957907,48.180122,.73570001,5.8435445
1997,"NEW YORK, NY","SARASOTA, FL",955,1034,431,267.12,.52599996,6.9411902,0,0,0,5.1239638,48.180122,.52599996,6.0661082
1998,"NEW YORK, NY","SARASOTA, FL",955,1034,413,268.70999,.57419997,6.9411902,1,0,0,5.1298985,48.180122,.57419997,6.0234475
2000,"ORLANDO, FL","ROCHESTER, NY",1007,1034,308,208.28999,.53939998,6.9411902,0,0,1,4.8751974,48.180122,.53939998,5.7300997
1997,"ORLANDO, FL","ROCHESTER, NY",1007,1034,347,192.39,.48980001,6.9411902,0,0,0,4.7957907,48.180122,.48980001,5.8493247
1999,"NEW YORK, NY","SARASOTA, FL",955,1034,389,275.07001,.60830003,6.9411902,0,1,0,5.1532917,48.180122,.60830003,5.9635792
1997,"HOUSTON, TX","MINNEAPOLIS, MN",687,1035,309,497.67001,.39750001,6.9421568,0,0,0,5.7462034,48.193542,.39750001,5.7333412
1998,"HOUSTON, TX","MINNEAPOLIS, MN",687,1035,313,478.59,.42540002,6.9421568,1,0,0,5.7071104,48.193542,.42540002,5.7462034
1997,"ISLIP/LONG ISLAND, NY","TAMPA, FL",733,1035,50,211.47,.83410001,6.9421568,0,0,0,4.8903489,48.193542,.83410001,3.9120231
1998,"ISLIP/LONG ISLAND, NY","TAMPA, FL",733,1035,193,178.08,.65580004,6.9421568,1,0,0,4.7184987,48.193542,.65580004,5.2626901
1999,"HOUSTON, TX","MINNEAPOLIS, MN",687,1035,408,453.14999,.30270001,6.9421568,0,1,0,5.6524892,48.193542,.30270001,6.0112672
1999,"ISLIP/LONG ISLAND, NY","TAMPA, FL",733,1035,509,170.13,.4659,6.9421568,0,1,0,4.6728287,48.193542,.4659,6.2324481
2000,"ISLIP/LONG ISLAND, NY","TAMPA, FL",733,1035,467,182.85001,.91710001,6.9421568,0,0,1,4.7449322,48.193542,.91710001,6.1463294
2000,"HOUSTON, TX","MINNEAPOLIS, MN",687,1035,426,477,.32179999,6.9421568,0,0,1,5.7037826,48.193542,.32179999,6.0544395
1997,"CHICAGO, IL","SARASOTA, FL",358,1036,269,235.32001,.741,6.9431224,0,0,0,4.9972124,48.206947,.741,5.5947113
1999,"CHICAGO, IL","SARASOTA, FL",358,1036,255,240.09,.60970002,6.9431224,0,1,0,5.0172796,48.206947,.60970002,5.5412636
2000,"CHICAGO, IL","SARASOTA, FL",358,1036,274,232.14,.63819999,6.9431224,0,0,1,4.9836068,48.206947,.63819999,5.6131282
1998,"CHICAGO, IL","SARASOTA, FL",358,1036,244,233.73,.634,6.9431224,1,0,0,4.9904327,48.206947,.634,5.4971681
1999,"OMAHA, NE","PHOENIX, AZ",985,1037,581,211.47,.56130004,6.944087,0,1,0,4.8903489,48.220345,.56130004,6.3647509
1997,"OMAHA, NE","PHOENIX, AZ",985,1037,532,184.44,.55509996,6.944087,0,0,0,4.7535901,48.220345,.55509996,6.2766433
2000,"OMAHA, NE","PHOENIX, AZ",985,1037,541,219.42,.52679998,6.944087,0,0,1,4.9272537,48.220345,.52679998,6.2934194
1998,"OMAHA, NE","PHOENIX, AZ",985,1037,496,214.64999,.54369998,6.944087,1,0,0,4.9052749,48.220345,.54369998,6.2065759
1999,"KANSAS CITY, MO","PHILADELPHIA, PA",756,1040,318,416.57999,.73820001,6.9469762,0,1,0,5.5683446,48.260479,.73820001,5.7620516
1997,"KANSAS CITY, MO","PHILADELPHIA, PA",756,1040,248,454.73999,.71469998,6.9469762,0,0,0,5.655992,48.260479,.71469998,5.5134287
1998,"KANSAS CITY, MO","PHILADELPHIA, PA",756,1040,271,437.25,.75010002,6.9469762,1,0,0,5.6167712,48.260479,.75010002,5.602119
2000,"KANSAS CITY, MO","PHILADELPHIA, PA",756,1040,288,448.38,.73510003,6.9469762,0,0,1,5.6419072,48.260479,.73510003,5.6629605
1997,"MINNEAPOLIS, MN","NEW ORLEANS, LA",887,1041,173,414.98999,.66080004,6.947937,0,0,0,5.5645204,48.27383,.66080004,5.1532917
2000,"ORLANDO, FL","SAN ANTONIO, TX",1010,1041,271,257.57999,.44580001,6.947937,0,0,1,5.0875964,48.27383,.44580001,5.602119
1997,"CHICAGO, IL","SAN ANTONIO, TX",353,1041,564,297.32999,.4795,6.947937,0,0,0,5.2311087,48.27383,.4795,6.3350544
1999,"CHICAGO, IL","SAN ANTONIO, TX",353,1041,575,310.04999,.49740002,6.947937,0,1,0,5.2729998,48.27383,.49740002,6.3543701
1998,"MINNEAPOLIS, MN","NEW ORLEANS, LA",887,1041,164,362.51999,.64849997,6.947937,1,0,0,5.4293456,48.27383,.64849997,5.0998664
2000,"MINNEAPOLIS, MN","NEW ORLEANS, LA",887,1041,299,325.95001,.72650003,6.947937,0,0,1,5.32301,48.27383,.72650003,5.7004437
1998,"CHICAGO, IL","SAN ANTONIO, TX",353,1041,532,306.87,.49770001,6.947937,1,0,0,5.2626901,48.27383,.49770001,6.2766433
2000,"CHICAGO, IL","SAN ANTONIO, TX",353,1041,588,357.75,.4641,6.947937,0,0,1,5.4161005,48.27383,.4641,6.3767271
1999,"MINNEAPOLIS, MN","NEW ORLEANS, LA",887,1041,191,403.85999,.6286,6.947937,0,1,0,5.5373344,48.27383,.6286,5.2522736
1997,"ORLANDO, FL","SAN ANTONIO, TX",1010,1041,319,178.08,.34810001,6.947937,0,0,0,4.7184987,48.27383,.34810001,5.7651911
1999,"ORLANDO, FL","SAN ANTONIO, TX",1010,1041,264,244.86,.37200001,6.947937,0,1,0,5.0369525,48.27383,.37200001,5.5759492
1998,"ORLANDO, FL","SAN ANTONIO, TX",1010,1041,253,235.32001,.34380001,6.947937,1,0,0,4.9972124,48.27383,.34380001,5.5333896
1999,"KANSAS CITY, MO","PHOENIX, AZ",757,1044,795,217.83,.5262,6.9508147,0,1,0,4.919981,48.313824,.5262,6.6783423
1997,"HOUSTON, TX","RALEIGH/DURHAM, NC",702,1044,232,302.10001,.49599999,6.9508147,0,0,0,5.2470241,48.313824,.49599999,5.4467373
2000,"KANSAS CITY, MO","PHOENIX, AZ",757,1044,798,233.73,.58520001,6.9508147,0,0,1,4.9904327,48.313824,.58520001,6.6821084
2000,"HOUSTON, TX","RALEIGH/DURHAM, NC",702,1044,347,318,.39470002,6.9508147,0,0,1,5.2983174,48.313824,.39470002,5.8493247
1998,"HOUSTON, TX","RALEIGH/DURHAM, NC",702,1044,254,273.48001,.50959998,6.9508147,1,0,0,5.1474943,48.313824,.50959998,5.5373344
1998,"KANSAS CITY, MO","PHOENIX, AZ",757,1044,740,222.60001,.53500003,6.9508147,1,0,0,4.9416423,48.313824,.53500003,6.6066504
1997,"KANSAS CITY, MO","PHOENIX, AZ",757,1044,829,184.44,.48790002,6.9508147,0,0,0,4.7535901,48.313824,.48790002,6.7202201
1999,"HOUSTON, TX","RALEIGH/DURHAM, NC",702,1044,319,283.01999,.47150001,6.9508147,0,1,0,5.1817837,48.313824,.47150001,5.7651911
1998,"BOSTON, MA","ST. LOUIS, MO",247,1046,338,491.31,.78780001,6.9527287,1,0,0,5.7333412,48.340439,.78780001,5.8230457
1999,"BOSTON, MA","ST. LOUIS, MO",247,1046,322,534.23999,.72540003,6.9527287,0,1,0,5.817111,48.340439,.72540003,5.7745514
2000,"BOSTON, MA","ST. LOUIS, MO",247,1046,319,588.29999,.7421,6.9527287,0,0,1,5.9135032,48.340439,.7421,5.7651911
1997,"BOSTON, MA","ST. LOUIS, MO",247,1046,344,492.89999,.71970004,6.9527287,0,0,0,5.7365723,48.340439,.71970004,5.8406415
1997,"KANSAS CITY, MO","TAMPA, FL",767,1049,268,205.11,.30489999,6.9555926,0,0,0,4.8598123,48.380268,.30489999,5.5909872
1998,"KANSAS CITY, MO","TAMPA, FL",767,1049,263,222.60001,.3001,6.9555926,1,0,0,4.9416423,48.380268,.3001,5.572154
2000,"KANSAS CITY, MO","TAMPA, FL",767,1049,301,244.86,.398,6.9555926,0,0,1,5.0369525,48.380268,.398,5.7071104
1999,"KANSAS CITY, MO","TAMPA, FL",767,1049,317,216.24001,.35769999,6.9555926,0,1,0,4.9126549,48.380268,.35769999,5.7589016
1997,"SAN DIEGO, CA","SEATTLE, WA",1110,1050,1301,200.34,.67930001,6.9565454,0,0,0,4.8362818,48.393524,.67930001,7.1708884
1998,"SAN DIEGO, CA","SEATTLE, WA",1110,1050,1287,205.11,.75139999,6.9565454,1,0,0,4.8598123,48.393524,.75139999,7.160069
1999,"HARTFORD, CT","ORLANDO, FL",664,1050,1441,170.13,.60470003,6.9565454,0,1,0,4.6728287,48.393524,.60470003,7.2730927
1999,"SAN DIEGO, CA","SEATTLE, WA",1110,1050,1384,219.42,.7335,6.9565454,0,1,0,4.9272537,48.393524,.7335,7.2327332
1997,"HARTFORD, CT","ORLANDO, FL",664,1050,1163,178.08,.83230001,6.9565454,0,0,0,4.7184987,48.393524,.83230001,7.0587583
1998,"HARTFORD, CT","ORLANDO, FL",664,1050,1266,174.89999,.65660006,6.9565454,1,0,0,4.7004805,48.393524,.65660006,7.1436176
2000,"SAN DIEGO, CA","SEATTLE, WA",1110,1050,1460,243.27,.73330003,6.9565454,0,0,1,5.0304379,48.393524,.73330003,7.2861919
2000,"HARTFORD, CT","ORLANDO, FL",664,1050,1644,174.89999,.49040002,6.9565454,0,0,1,4.7004805,48.393524,.49040002,7.4048877
2000,"HARTFORD, CT","MINNEAPOLIS, MN",663,1051,235,564.45001,.76440001,6.9574976,0,0,1,5.872118,48.406773,.76440001,5.4595857
1997,"HARTFORD, CT","MINNEAPOLIS, MN",663,1051,213,570.81,.75370002,6.9574976,0,0,0,5.8833222,48.406773,.75370002,5.3612924
1999,"HARTFORD, CT","MINNEAPOLIS, MN",663,1051,214,532.65002,.71129996,6.9574976,0,1,0,5.8141303,48.406773,.71129996,5.3659759
1998,"HARTFORD, CT","MINNEAPOLIS, MN",663,1051,216,499.26001,.76879996,6.9574976,1,0,0,5.749393,48.406773,.76879996,5.3752785
1999,"ORLANDO, FL","SYRACUSE, NY",1017,1053,460,190.8,.639,6.9593987,0,1,0,4.7874918,48.433231,.639,6.1312265
2000,"ORLANDO, FL","SYRACUSE, NY",1017,1053,505,192.39,.55419999,6.9593987,0,0,1,4.7957907,48.433231,.55419999,6.2245584
1998,"ORLANDO, FL","SYRACUSE, NY",1017,1053,445,174.89999,.62770003,6.9593987,1,0,0,4.7004805,48.433231,.62770003,6.0980744
1997,"ORLANDO, FL","SYRACUSE, NY",1017,1053,399,190.8,.4461,6.9593987,0,0,0,4.7874918,48.433231,.4461,5.9889612
1999,"BUFFALO, NY","TAMPA, FL",257,1055,273,197.16,.5539,6.9612961,0,1,0,4.8202815,48.459644,.5539,5.6094718
1998,"DALLAS, TX","LAS VEGAS, NV",475,1055,816,335.48999,.52099997,6.9612961,1,0,0,5.3518581,48.459644,.52099997,6.7044144
1999,"DALLAS, TX","LAS VEGAS, NV",475,1055,1265,271.89001,.30860001,6.9612961,0,1,0,5.1416636,48.459644,.30860001,7.1428275
2000,"BUFFALO, NY","TAMPA, FL",257,1055,395,170.13,.42049998,6.9612961,0,0,1,4.6728287,48.459644,.42049998,5.9788857
1997,"BUFFALO, NY","TAMPA, FL",257,1055,182,216.24001,.63270003,6.9612961,0,0,0,4.9126549,48.459644,.63270003,5.2040067
2000,"DALLAS, TX","LAS VEGAS, NV",475,1055,1500,265.53,.3344,6.9612961,0,0,1,5.1179938,48.459644,.3344,7.3132205
